Team_Name,Player_Name,Position,Cost
The ShapeShifters,Josh Hader,RP,21
The ShapeShifters,Trea Turner,SS,56
The ShapeShifters,Jose Ramirez,3B,49
The ShapeShifters,Bo Naylor,C,5
The ShapeShifters,Grayson Rodriguez,SP,20
The ShapeShifters,Hunter Greene,SP,13
The ShapeShifters,Anthony Santander,"1B,RF",10
The ShapeShifters,Cristian Javier,SP,9
The ShapeShifters,Justin Verlander,SP,8
The ShapeShifters,Justin Turner,"1B,2B,3B",7
The ShapeShifters,Sean Manaea,"SP,RP",2
The ShapeShifters,Jack Flaherty,SP,1
The ShapeShifters,Parker Meadows,CF,1
The ShapeShifters,Andrew Nardi,RP,1
The ShapeShifters,Yuki Matsui,P,1
The ShapeShifters,Aroldis Chapman,RP,2
The ShapeShifters,Gavin Stone,SP,2
The ShapeShifters,Abner Uribe,RP,1
The ShapeShifters,Ranger Suarez,SP,1
The ShapeShifters,Jake Burger,3B,10
The ShapeShifters,Yordan Alvarez,LF,40
Tenacious D,Francisco Lindor,SS,32
Tenacious D,Camilo Doval,RP,18
Tenacious D,Chris Sale,SP,18
Tenacious D,Christian Encarnacion-Strand,1B,20
Tenacious D,Craig Kimbrel,RP,12
Tenacious D,Josh Lowe,"CF,RF",18
Tenacious D,Marcell Ozuna,LF,12
Tenacious D,Josh Jung,3B,14
Tenacious D,Shane Bieber,SP,16
Tenacious D,Kyle Harrison,SP,8
Tenacious D,Michael King,"SP,RP",14
Tenacious D,Alec Bohm,"1B,3B",10
Tenacious D,Willson Contreras,C,8
Tenacious D,Triston McKenzie,SP,7
Tenacious D,Tyler O'Neill,"LF,CF",6
Tenacious D,Hunter Harvey,RP,7
Tenacious D,Luis Rengifo,"2B,3B,SS,RF",6
Tenacious D,Jorge Polanco,"2B,3B",9
Tenacious D,Luke Raley,"1B,LF,CF,RF",1
Tenacious D,Frankie Montas,RP,3
Tenacious D,Jason Adam,RP,3
Steel City Sluggers,Ozzie Albies,2B,43
Steel City Sluggers,Logan Webb,SP,29
Steel City Sluggers,Paul Goldschmidt,1B,26
Steel City Sluggers,Framber Valdez,SP,24
Steel City Sluggers,Jordan Romano,RP,16
Steel City Sluggers,Chris Bassitt,SP,12
Steel City Sluggers,Yu Darvish,SP,10
Steel City Sluggers,Merrill Kelly,SP,11
Steel City Sluggers,Mitch Keller,SP,8
Steel City Sluggers,Adbert Alzolay,RP,10
Steel City Sluggers,Ke'Bryan Hayes,3B,10
Steel City Sluggers,Andrew Benintendi,LF,1
Steel City Sluggers,Yimi Garcia,RP,1
Steel City Sluggers,Kris Bryant,"1B,RF",1
Steel City Sluggers,Joel Payamps,RP,2
Steel City Sluggers,Ceddanne Rafaela,"SS,CF",1
Steel City Sluggers,Joey Meneses,1B,1
