Team_Name,Player_Name,eligible_positions,Cost,Player_ID,IDfg
The ShapeShifters,Josh Hader,RP,$21,623352,14212
The ShapeShifters,Trea Turner,SS,$56,607208,16252
The ShapeShifters,Jose Ramirez,3B,$49,542432,10171
The ShapeShifters,Bo Naylor,C,$5,666310,21865
The ShapeShifters,Grayson Rodriguez,SP,$20,680570,24492
The ShapeShifters,Hunter Greene,SP,$13,668881,22182
The ShapeShifters,Anthony Santander,"1B,RF",$10,623993,14551
The ShapeShifters,Cristian Javier,SP,$9,664299,17606
The ShapeShifters,Justin Verlander,SP,$8,434378,8700
The ShapeShifters,Justin Turner,"1B,2B,3B",$7,457759,5235
The ShapeShifters,Sean Manaea,"SP,RP",$2,640455,15873
The ShapeShifters,Jack Flaherty,SP,$1,656427,17479
The ShapeShifters,Parker Meadows,CF,$1,678009,23800
The ShapeShifters,Andrew Nardi,RP,$1,677053,25942
The ShapeShifters,Yuki Matsui,P,$1,673513,
The ShapeShifters,Aroldis Chapman,RP,$2,547973,10233
The ShapeShifters,Gavin Stone,SP,$2,694813,27792
The ShapeShifters,Abner Uribe,RP,$1,682842,25327
The ShapeShifters,Ranger Suarez,SP,$1,624133,17277
The ShapeShifters,Jake Burger,3B,$10,669394,22275
The ShapeShifters,Yordan Alvarez,LF,$40,670541,19556
Tenacious D,Francisco Lindor,SS,$32,596019,12916
Tenacious D,Camilo Doval,RP,$18,666808,21992
Tenacious D,Chris Sale,SP,$18,519242,10603
Tenacious D,Christian Encarnacion-Strand,1B,$20,687952,30011
Tenacious D,Craig Kimbrel,RP,$12,518886,6655
Tenacious D,Josh Lowe,"CF,RF",$18,666139,19953
Tenacious D,Marcell Ozuna,LF,$12,542303,10324
Tenacious D,Josh Jung,3B,$14,673962,26299
Tenacious D,Shane Bieber,SP,$16,669456,19427
Tenacious D,Kyle Harrison,SP,$8,690986,27758
Tenacious D,Michael King,"SP,RP",$14,543859,10315
Tenacious D,Alec Bohm,"1B,3B",$10,664761,21618
Tenacious D,Willson Contreras,C,$8,575929,11609
Tenacious D,Triston McKenzie,SP,$7,663474,18000
Tenacious D,Tyler O'Neill,"LF,CF",$6,641933,15711
Tenacious D,Hunter Harvey,RP,$7,640451,15507
Tenacious D,Luis Rengifo,"2B,3B,SS,RF",$6,650859,19858
Tenacious D,Jorge Polanco,"2B,3B",$9,593871,13152
Tenacious D,Luke Raley,"1B,LF,CF,RF",$1,670042,19354
Tenacious D,Frankie Montas,RP,$3,593423,14309
Tenacious D,Jason Adam,RP,$3,592094,11861
Steel City Sluggers,Ozzie Albies,2B,$43,645277,16556
Steel City Sluggers,Logan Webb,SP,$29,657277,17995
Steel City Sluggers,Paul Goldschmidt,1B,$26,502671,9218
Steel City Sluggers,Framber Valdez,SP,$24,664285,17295
Steel City Sluggers,Jordan Romano,RP,$16,605447,16122
Steel City Sluggers,Chris Bassitt,SP,$12,605135,12304
Steel City Sluggers,Yu Darvish,SP,$10,506433,13074
Steel City Sluggers,Merrill Kelly,SP,$11,518876,11156
Steel City Sluggers,Mitch Keller,SP,$8,656605,17594
Steel City Sluggers,Adbert Alzolay,RP,$10,640470,17859
Steel City Sluggers,Ke'Bryan Hayes,3B,$10,663647,18577
Steel City Sluggers,Andrew Benintendi,LF,$1,643217,17901
Steel City Sluggers,Yimi Garcia,RP,$1,554340,12095
Steel City Sluggers,Kris Bryant,"1B,RF",$1,592178,15429
Steel City Sluggers,Joel Payamps,RP,$2,606303,14332
Steel City Sluggers,Ceddanne Rafaela,"SS,CF",$1,678882,24262
