Team_Name,Player_Name,Position,Cost,Player_ID
The ShapeShifters,Josh Hader,RP,21,623352
The ShapeShifters,Trea Turner,SS,56,607208
The ShapeShifters,Jose Ramirez,3B,49,542432
The ShapeShifters,Bo Naylor,C,5,666310
The ShapeShifters,Grayson Rodriguez,SP,20,680570
The ShapeShifters,Hunter Greene,SP,13,668881
The ShapeShifters,Anthony Santander,"1B,RF",10,623993
The ShapeShifters,Cristian Javier,SP,9,664299
The ShapeShifters,Justin Verlander,SP,8,434378
The ShapeShifters,Justin Turner,"1B,2B,3B",7,457759
The ShapeShifters,Sean Manaea,"SP,RP",2,640455
The ShapeShifters,Jack Flaherty,SP,1,656427
The ShapeShifters,Parker Meadows,CF,1,678009
The ShapeShifters,Andrew Nardi,RP,1,677053
The ShapeShifters,Yuki Matsui,P,1,673513
The ShapeShifters,Aroldis Chapman,RP,2,547973
The ShapeShifters,Gavin Stone,SP,2,694813
The ShapeShifters,Abner Uribe,RP,1,682842
The ShapeShifters,Ranger Suarez,SP,1,624133
The ShapeShifters,Jake Burger,3B,10,669394
The ShapeShifters,Yordan Alvarez,LF,40,670541
Tenacious D,Francisco Lindor,SS,32,596019
Tenacious D,Camilo Doval,RP,18,666808
Tenacious D,Chris Sale,SP,18,519242
Tenacious D,Christian Encarnacion-Strand,1B,20,687952
Tenacious D,Craig Kimbrel,RP,12,518886
Tenacious D,Josh Lowe,"CF,RF",18,666139
Tenacious D,Marcell Ozuna,LF,12,542303
Tenacious D,Josh Jung,3B,14,673962
Tenacious D,Shane Bieber,SP,16,669456
Tenacious D,Kyle Harrison,SP,8,690986
Tenacious D,Michael King,"SP,RP",14,543859
Tenacious D,Alec Bohm,"1B,3B",10,664761
Tenacious D,Willson Contreras,C,8,575929
Tenacious D,Triston McKenzie,SP,7,663474
Tenacious D,Tyler O'Neill,"LF,CF",6,641933
Tenacious D,Hunter Harvey,RP,7,640451
Tenacious D,Luis Rengifo,"2B,3B,SS,RF",6,650859
Tenacious D,Jorge Polanco,"2B,3B",9,593871
Tenacious D,Luke Raley,"1B,LF,CF,RF",1,670042
Tenacious D,Frankie Montas,RP,3,593423
Tenacious D,Jason Adam,RP,3,592094
Steel City Sluggers,Ozzie Albies,2B,43,645277
Steel City Sluggers,Logan Webb,SP,29,657277
Steel City Sluggers,Paul Goldschmidt,1B,26,502671
Steel City Sluggers,Framber Valdez,SP,24,664285
Steel City Sluggers,Jordan Romano,RP,16,605447
Steel City Sluggers,Chris Bassitt,SP,12,605135
Steel City Sluggers,Yu Darvish,SP,10,506433
Steel City Sluggers,Merrill Kelly,SP,11,518876
Steel City Sluggers,Mitch Keller,SP,8,656605
Steel City Sluggers,Adbert Alzolay,RP,10,640470
Steel City Sluggers,Ke'Bryan Hayes,3B,10,663647
Steel City Sluggers,Andrew Benintendi,LF,1,643217
Steel City Sluggers,Yimi Garcia,RP,1,554340
Steel City Sluggers,Kris Bryant,"1B,RF",1,592178
Steel City Sluggers,Joel Payamps,RP,2,606303
Steel City Sluggers,Ceddanne Rafaela,"SS,CF",1,678882
Steel City Sluggers,Joey Meneses,1B,1,608841
Steel City Sluggers,Paul Skenes,SP,1,122002
Steel City Sluggers,Andrew Painter,SP,0,120183
Steel City Sluggers,Adley Rutschman,C,20,668939
Steel City Sluggers,Bobby Witt,SS,33,677951
Steel City Sluggers,Clayton Kershaw,SP,0,477132
Steel City Sluggers,Kevin Ginkel,SP,0,656464
Mary's Little Lambs,Freddie Freeman,1B,57,518692
Mary's Little Lambs,Adolis Garcia,"CF,RF",31,666969
Mary's Little Lambs,Jose Altuve,2B,33,514888
Mary's Little Lambs,Bryan Reynolds,"LF,CF",21,668804
Mary's Little Lambs,Dansby Swanson,SS,16,621020
Mary's Little Lambs,Yandy Diaz,"1B,3B",16,650490
Mary's Little Lambs,Jose Berrios,SP,10,110624
Mary's Little Lambs,Kodai Senga,SP,5,673540
Mary's Little Lambs,Whit Merrifield,"2B,LF",2,593160
Mary's Little Lambs,Scott Effross,RP,1,664123
Mary's Little Lambs,Miles Mikolas,SP,3,571945
Mary's Little Lambs,JP Sears,SP,1,676664
Mary's Little Lambs,Yusei Kikuchi,SP,2,579328
Mary's Little Lambs,Travis d'Arnaud,C,1,518595
Mary's Little Lambs,Adam Ottavino,RP,1,493603
Mary's Little Lambs,Bryan Abreu,RP,2,650556
Mary's Little Lambs,Jon Gray,SP,2,592351
Mary's Little Lambs,Ricky Tiedemann,SP,1,133342
Mary's Little Lambs,Edwin Diaz,RP,10,621242
Mary's Little Lambs,Evan Carter,LF,10,694497
Mary's Little Lambs,Shohei Ohtani,Util,30,660271
Mary's Little Lambs,Colin Poche,RP,0,621363
Mary's Little Lambs,Tim Mayza,RP,0,641835
Yellow&Black Attack,Sonny Gray,SP,10,543243
Yellow&Black Attack,Gerrit Cole,SP,6,543037
Yellow&Black Attack,Thairo Estrada,"2B,SS",10,642731
Yellow&Black Attack,James Outman,"LF,CF",9,681546
Yellow&Black Attack,Rhys Hoskins,1B,10,656555
Yellow&Black Attack,Ezequiel Tovar,SS,9,678662
Yellow&Black Attack,Cal Raleigh,C,9,663728
Yellow&Black Attack,Francisco Alvarez,C,7,682626
Yellow&Black Attack,Steven Kwan,LF,6,680757
Yellow&Black Attack,Walker Buehler,SP,7,621111
Yellow&Black Attack,Tommy Edman,"2B,SS,CF,RF",5,669242
Yellow&Black Attack,Jarred Kelenic,"LF,CF,RF",4,672284
Yellow&Black Attack,Andrew Vaughn,1B,3,683734
Yellow&Black Attack,David Robertson,RP,2,502085
Yellow&Black Attack,Andrew Abbott,SP,2,671096
Yellow&Black Attack,DJ LeMahieu,"1B,2B,3B",1,518934
Yellow&Black Attack,Luis Severino,SP,1,622663
Yellow&Black Attack,Jorge Lopez,RP,2,605347
Yellow&Black Attack,Zach Neto,SS,1,687263
Yellow&Black Attack,Brendan Rodgers,2B,1,663898
Yellow&Black Attack,Leody Taveras,CF,3,665750
PJ Shuffle,Luis Robert,CF,30,673357
PJ Shuffle,Teoscar Hernandez,RF,15,606192
PJ Shuffle,Yainer Diaz,"C,1B",10,673237
PJ Shuffle,Nico Hoerner,"2B,SS",24,663538
PJ Shuffle,Isaac Paredes,"1B,2B,3B",8,670623
PJ Shuffle,Andres Gimenez,2B,14,665926
PJ Shuffle,Joe Musgrove,SP,17,605397
PJ Shuffle,David Bednar,RP,14,670280
PJ Shuffle,Ryan Helsley,RP,15,664854
PJ Shuffle,Pete Fairbanks,RP,12,664126
