full_name,eligible_positions,IDfg
Gerrit Cole,SP,13125
Zach Eflin,SP,13774
George Kirby,SP,25436
Spencer Strider,SP,27498
Logan Webb,SP,17995
Tanner Scott,RP,17586
Zac Gallen,SP,19291
Zack Wheeler,SP,10310
Félix Bautista,RP,20666
Justin Steele,SP,17312
Kyle Bradish,SP,24586
Luis Castillo,SP,513
Logan Gilbert,SP,22250
Devin Williams,RP,15816
Kevin Gausman,SP,14107
Yennier Cano,RP,25911
Pablo López,SP,17085
Joel Payamps,RP,14332
Brusdar Graterol,RP,20367
Evan Phillips,RP,17734
Bryan Abreu,RP,16609
Hector Neris,RP,11804
David Bednar,RP,19569
Blake Snell,SP,13543
Tyler Holton,RP,26231
Craig Kimbrel,RP,6655
Clayton Kershaw,SP,2036
Matt Strahm,"SP,RP",13799
Framber Valdez,SP,17295
Hunter Harvey,RP,15507
Camilo Doval,RP,21992
Colin Poche,RP,19403
Chris Martin,RP,11847
Corbin Burnes,SP,19361
Hoby Milner,RP,13346
Matt Brash,RP,25756
Emmanuel Clase,RP,21032
Erik Swanson,RP,16587
Freddy Peralta,SP,18679
Sonny Gray,SP,12768
Chris Bassitt,SP,12304
Alexis Díaz,RP,21132
Jason Foley,RP,19531
Adbert Alzolay,RP,17859
Bailey Ober,SP,21224
Justin Topa,RP,15145
Josh Hader,RP,14212
Ryan Pressly,RP,7005
Kevin Ginkel,RP,19876
Max Scherzer,SP,3137
Tarik Skubal,SP,22267
Raisel Iglesias,RP,17130
Robert Stephenson,RP,13594
Danny Coulombe,RP,13293
Andrew Nardi,RP,25942
Jordan Montgomery,SP,16511
Joe Ryan,SP,21390
Tyler Rogers,RP,15541
Justin Verlander,SP,8700
Tyler Glasnow,SP,14374
Braxton Garrett,SP,21844
Tim Mayza,RP,15042
Jesús Luzardo,SP,19959
Michael King,"SP,RP",10315
Shohei Ohtani (Pitcher),SP,19755
Paul Sewald,RP,13892
Jhoan Duran,RP,21029
Jordan Romano,RP,16122
A.J. Minter,RP,18655
Jeff Hoffman,RP,17432
Griffin Jax,RP,20253
Aaron Nola,SP,16149
David Robertson,RP,8241
Clay Holmes,RP,13649
Jason Adam,RP,11861
Mark Leiter,RP,1007501
Emilio Pagán,RP,14771
Gabe Speier,RP,17170
José Berríos,SP,14168
A.J. Puk,RP,19343
Matt Moore,RP,1890
Eduardo Rodriguez,SP,13164
Kodai Senga,SP,31838
Merrill Kelly,SP,11156
Brandon Woodruff,SP,16162
Pete Fairbanks,RP,17998
Ian Gibaut,RP,17871
Kevin Kelly,RP,25679
Yimi García,RP,12095
Nick Pivetta,"SP,RP",15454
Joe Musgrove,SP,12970
Trevor Stephan,RP,19932
Michael Wacha,SP,14078
Kyle Finnegan,RP,15009
Mitch Keller,SP,17594
Tyler Wells,SP,20000
Ryan Borucki,RP,16350
Aroldis Chapman,RP,10233
Tanner Bibee,SP,30134
Shawn Armstrong,"SP,RP",12857
Lucas Sims,RP,13470
Seth Lugo,SP,12447
Phil Maton,RP,18064
Bobby Miller,SP,27483
Bryse Wilson,RP,19990
Andrés Muñoz,RP,20373
Enyel De Los Santos,RP,18403
Giovanny Gallegos,RP,14986
Will Smith,RP,8048
Ryan Brasier,RP,5615
Joe Jiménez,RP,15761
Gregory Soto,RP,19677
Reynaldo López,RP,16400
Brooks Raley,RP,10061
Kyle Nelson,RP,20515
Max Fried,SP,13743
Julian Merryweather,RP,16703
Nathan Eovaldi,SP,9132
Miguel Castro,RP,15684
Cristopher Sánchez,SP,20778
José Alvarado,RP,17780
Shane McClanahan,SP,21483
Caleb Ferguson,"SP,RP",19349
Nick Sandlin,RP,20517
Will Vest,RP,19769
Nick Martinez,"SP,RP",12730
Tom Cosgrove,RP,23443
Yusei Kikuchi,SP,20633
Julio Urías,SP,14765
Caleb Thielbar,RP,10078
Kirby Yates,RP,9073
Kenley Jansen,RP,3096
Dauri Moreta,RP,21101
Jordan Hicks,RP,19618
Wandy Peralta,RP,14295
Alex Lange,RP,19883
Bryce Miller,SP,29837
Kutter Crawford,"SP,RP",20531
Elvis Peguero,RP,21652
Adam Ottavino,RP,1247
Nick Anderson,RP,18337
Taylor Rogers,RP,13449
Brock Burke,RP,17968
Aaron Civale,SP,19479
Ryan Helsley,RP,18138
Chris Stratton,RP,13761
Kendall Graveman,RP,15514
Carlos Estévez,RP,14542
Josh Winckowski,RP,22387
Eury Pérez,SP,27768
Cole Ragans,"SP,RP",21846
Buck Farmer,RP,14814
Colin Holderman,RP,22361
Gregory Santos,RP,21894
Ryan Pepiot,"SP,RP",26221
Shelby Miller,RP,10197
José Leclerc,RP,14524
Brock Stewart,RP,16727
Sam Moll,RP,14874
Dane Dunning,"SP,RP",19409
Chris Sale,SP,10603
Tommy Kahnle,RP,11384
Sam Hentges,RP,18548
Josh Sborz,RP,18323
Pierce Johnson,RP,13435
Michael Tonkin,RP,10315
Chris Devenski,RP,12763
Justin Lawrence,RP,17639
Jacob deGrom,SP,10954
Wade Miley,SP,8779
Steven Okert,RP,13580
Scott McGough,RP,12056
Steven Wilson,RP,20353
Alex Young,RP,18333
Bowden Francis,RP,20548
Joe Kelly,RP,1006804
Kenta Maeda,SP,18498
Kyle Hendricks,SP,12049
Dean Kremer,SP,19350
Ian Hamilton,RP,19261
Seranthony Domínguez,RP,19249
JoJo Romero,RP,19574
Mike Baumann,RP,20206
Griffin Canning,SP,19867
Ryan Walker,"SP,RP",20423
Brennan Bernardino,"SP,RP",16835
Sandy Alcantara,SP,18684
Mike Clevinger,SP,12808
Keynan Middleton,RP,15264
Jakob Junis,"SP,RP",13619
Jordan Weems,RP,13190
Alex Vesia,RP,25007
Angel Perdomo,RP,17759
Reese Olson,SP,24968
John Brebbia,"SP,RP",12777
Zack Littell,"SP,RP",15823
Drew Rasmussen,SP,25385
Jay Jackson,RP,7432
Fernando Cruz,RP,7048
Peter Strzelecki,RP,21367
Eli Morgan,RP,20203
