full_name,display_position
Gerrit Cole,SP
Zach Eflin,SP
George Kirby,SP
Spencer Strider,SP
Logan Webb,SP
Tanner Scott,RP
Zac Gallen,SP
Zack Wheeler,SP
Félix Bautista,RP
Justin Steele,SP
Kyle Bradish,SP
Luis Castillo,SP
Logan Gilbert,SP
Devin Williams,RP
Kevin Gausman,SP
Yennier Cano,RP
Pablo López,SP
Joel Payamps,RP
Brusdar Graterol,RP
Evan Phillips,RP
Bryan Abreu,RP
Hector Neris,RP
David Bednar,RP
Blake Snell,SP
Tyler Holton,RP
Craig Kimbrel,RP
Clayton Kershaw,SP
Matt Strahm,"SP,RP"
Framber Valdez,SP
Hunter Harvey,RP
Camilo Doval,RP
Colin Poche,RP
Chris Martin,RP
Corbin Burnes,SP
Hoby Milner,RP
Matt Brash,RP
Emmanuel Clase,RP
Erik Swanson,RP
Freddy Peralta,SP
Sonny Gray,SP
Chris Bassitt,SP
Alexis Díaz,RP
Jason Foley,RP
Adbert Alzolay,RP
Bailey Ober,SP
Justin Topa,RP
Josh Hader,RP
Ryan Pressly,RP
Kevin Ginkel,RP
Max Scherzer,SP
Tarik Skubal,SP
Raisel Iglesias,RP
Robert Stephenson,RP
Danny Coulombe,RP
Andrew Nardi,RP
Jordan Montgomery,SP
Joe Ryan,SP
Tyler Rogers,RP
Justin Verlander,SP
Tyler Glasnow,SP
Braxton Garrett,SP
Tim Mayza,RP
Jesús Luzardo,SP
Michael King,"SP,RP"
Shohei Ohtani (Pitcher),SP
Paul Sewald,RP
Jhoan Duran,RP
Jordan Romano,RP
A.J. Minter,RP
Jeff Hoffman,RP
Griffin Jax,RP
Aaron Nola,SP
David Robertson,RP
Clay Holmes,RP
Jason Adam,RP
Mark Leiter,RP
Emilio Pagán,RP
Gabe Speier,RP
José Berríos,SP
A.J. Puk,RP
Matt Moore,RP
Eduardo Rodriguez,SP
Kodai Senga,SP
Merrill Kelly,SP
Brandon Woodruff,SP
Pete Fairbanks,RP
Ian Gibaut,RP
Kevin Kelly,RP
Yimi García,RP
Nick Pivetta,"SP,RP"
Joe Musgrove,SP
Trevor Stephan,RP
Michael Wacha,SP
Kyle Finnegan,RP
Mitch Keller,SP
Tyler Wells,SP
Ryan Borucki,RP
Aroldis Chapman,RP
Tanner Bibee,SP
Shawn Armstrong,"SP,RP"
Lucas Sims,RP
Seth Lugo,SP
Phil Maton,RP
Bobby Miller,SP
Bryse Wilson,RP
Andrés Muñoz,RP
Enyel De Los Santos,RP
Giovanny Gallegos,RP
Will Smith,RP
Ryan Brasier,RP
Joe Jiménez,RP
Gregory Soto,RP
Reynaldo López,RP
Brooks Raley,RP
Kyle Nelson,RP
Max Fried,SP
Julian Merryweather,RP
Nathan Eovaldi,SP
Miguel Castro,RP
Cristopher Sánchez,SP
José Alvarado,RP
Shane McClanahan,SP
